ba,year,elec_escalation_res,elec_escalation_com,elec_escalation_ind,elec_escalation_trans,nerc_region_abbr,scenario
p1,2014,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2015,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2016,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2017,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2018,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2019,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2020,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2021,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2022,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2023,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2024,1.0,1.0,1.0,1.0,NWPP,AEO2023 Reference case
p1,2025,0.8996165596118333,0.8666066447753005,0.8579064376198648,0.8638740014921675,NWPP,AEO2023 Reference case
p1,2026,0.9044082713775372,0.8581724704841329,0.8526549421291971,0.8516277217528174,NWPP,AEO2023 Reference case
p1,2027,0.9294863462373181,0.8719187863173031,0.8662906332811723,0.8669739290623458,NWPP,AEO2023 Reference case
p1,2028,0.9660673783644518,0.8953269350813763,0.8971921746899578,0.8842412071436285,NWPP,AEO2023 Reference case
p1,2029,0.986255551686189,0.903568424907549,0.8911605420737855,0.9001516174667736,NWPP,AEO2023 Reference case
p1,2030,1.0077151044953705,0.9103673088931269,0.8934060185391931,0.9043007634190631,NWPP,AEO2023 Reference case
p1,2031,1.0376094809602145,0.9249889682796847,0.9067265257862964,0.914346056602182,NWPP,AEO2023 Reference case
p1,2032,1.0778039475849768,0.9496930221488946,0.9297431532182631,0.9330136302361217,NWPP,AEO2023 Reference case
p1,2033,1.1182570314857632,0.9746347720407649,0.9586045813613454,0.9517735058491721,NWPP,AEO2023 Reference case
p1,2034,1.1617316978885555,1.000439907771999,0.9851072187291238,0.977629597747545,NWPP,AEO2023 Reference case
p1,2035,1.2016212505052577,1.0237765046863059,1.013219800293402,1.0020125127945376,NWPP,AEO2023 Reference case
p1,2036,1.241358006947732,1.0487467392140204,1.0438152715487818,1.0235396562052261,NWPP,AEO2023 Reference case
p1,2037,1.2825988136335227,1.0764565540765259,1.0753330544525384,1.0499301392978757,NWPP,AEO2023 Reference case
p1,2038,1.3266660103723333,1.105339488736757,1.1076984162426493,1.0682925000987158,NWPP,AEO2023 Reference case
p1,2039,1.377556463570704,1.1374177579052884,1.1555693071938788,1.1092019125142063,NWPP,AEO2023 Reference case
p1,2040,1.4316049304832523,1.1700770942016074,1.202726591405307,1.1647843297611464,NWPP,AEO2023 Reference case
p1,2041,1.4769652136021834,1.194144375494775,1.219300404134119,1.1922162916289627,NWPP,AEO2023 Reference case
p1,2042,1.5169582131292954,1.2134790268987319,1.2378549388482467,1.2091492616880783,NWPP,AEO2023 Reference case
p1,2043,1.5614957541402719,1.236269943741386,1.2647844035763576,1.2393772282274644,NWPP,AEO2023 Reference case
p1,2044,1.6180637468691412,1.2699267283781928,1.2987636588552705,1.2685822767157435,NWPP,AEO2023 Reference case
p1,2045,1.679320343623503,1.3081651646125163,1.346034409272452,1.3142396513393066,NWPP,AEO2023 Reference case
p1,2046,1.7516500842117209,1.3570688123666483,1.4037562022876122,1.3647645221004117,NWPP,AEO2023 Reference case
