ba,year,elec_escalation_res,elec_escalation_com,elec_escalation_ind,elec_escalation_trans,nerc_region_abbr,scenario
p1,2014,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2015,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2016,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2017,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2018,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2019,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2020,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2021,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2022,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2023,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2024,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Electricity
p1,2025,0.9563640804017967,0.9298065466124347,0.917330480577977,0.9391941843190322,NWPP,AEO2025 Alternative Electricity
p1,2026,0.7448718209144576,0.6842233713338383,0.6022435474462877,0.6884588757750653,NWPP,AEO2025 Alternative Electricity
p1,2027,0.6582400230648026,0.5898778747829051,0.5233620806960005,0.5814834780638012,NWPP,AEO2025 Alternative Electricity
p1,2028,0.6515234265174134,0.5782637604529228,0.5071951895804244,0.5681539628048726,NWPP,AEO2025 Alternative Electricity
p1,2029,0.6594243101911248,0.5805060348549028,0.512042021368894,0.5700287209775516,NWPP,AEO2025 Alternative Electricity
p1,2030,0.6783793098194842,0.594136092221297,0.5278693443740462,0.5839025854485451,NWPP,AEO2025 Alternative Electricity
p1,2031,0.7017470803126952,0.6111241419889503,0.5471657641764759,0.6015186922592434,NWPP,AEO2025 Alternative Electricity
p1,2032,0.7265121965069473,0.6293566954906568,0.5686589063377535,0.6217962843311379,NWPP,AEO2025 Alternative Electricity
p1,2033,0.7494011045805977,0.6443609349002775,0.5876224097871824,0.6375153438142189,NWPP,AEO2025 Alternative Electricity
p1,2034,0.7760987520723004,0.6634764357489563,0.6100203551989192,0.6575899978017821,NWPP,AEO2025 Alternative Electricity
