ba,year,elec_escalation_res,elec_escalation_com,elec_escalation_ind,elec_escalation_trans,nerc_region_abbr,scenario
p1,2014,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2015,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2016,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2017,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2018,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2019,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2020,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2021,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2022,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2023,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2024,1.0,1.0,1.0,1.0,NWPP,AEO2025 Alternative Transportation
p1,2025,0.9606182368429527,0.9349750707923333,0.9241974201156513,0.9442083101864174,NWPP,AEO2025 Alternative Transportation
p1,2026,0.7454804000383148,0.6855331707649135,0.6028345985191409,0.6897469648755555,NWPP,AEO2025 Alternative Transportation
p1,2027,0.657803613836804,0.5897218629501142,0.5228134944267039,0.5808892532735496,NWPP,AEO2025 Alternative Transportation
p1,2028,0.6525583682963572,0.5787469677469429,0.5067635355106918,0.5676970600024688,NWPP,AEO2025 Alternative Transportation
p1,2029,0.6627486538124696,0.581336017217917,0.5111341376639713,0.5692082852047355,NWPP,AEO2025 Alternative Transportation
p1,2030,0.6841945744468042,0.59481515741632,0.5254060300871792,0.5819898462454098,NWPP,AEO2025 Alternative Transportation
p1,2031,0.7094261264202958,0.6099891147443365,0.5394865140621297,0.5964010123510101,NWPP,AEO2025 Alternative Transportation
p1,2032,0.7349493017196677,0.6250673250836116,0.5563304575087994,0.6109887156744197,NWPP,AEO2025 Alternative Transportation
p1,2033,0.7576051452422977,0.635395530492394,0.5672895744341241,0.620023890481906,NWPP,AEO2025 Alternative Transportation
p1,2034,0.7847300888745558,0.650495307761359,0.5833531351491134,0.6332340705638578,NWPP,AEO2025 Alternative Transportation
p1,2035,0.8124392007412751,0.6645747593124285,0.5968009715945274,0.64548308876711,NWPP,AEO2025 Alternative Transportation
p1,2036,0.8385168232330078,0.6791094702996657,0.6103535255043563,0.6576803449257441,NWPP,AEO2025 Alternative Transportation
p1,2037,0.8655024926796095,0.6938242237972937,0.623797838592204,0.6717920639392488,NWPP,AEO2025 Alternative Transportation
p1,2038,0.8907226400671789,0.7063513017455217,0.6338235115780807,0.6834914185258423,NWPP,AEO2025 Alternative Transportation
p1,2039,0.9355555073004616,0.7435924906368352,0.6774041671323507,0.7194611098168749,NWPP,AEO2025 Alternative Transportation
p1,2040,0.9654165723724368,0.7592944878363153,0.687736372226503,0.7355542425923818,NWPP,AEO2025 Alternative Transportation
p1,2041,0.989344660813503,0.7693129310602596,0.6970188625815166,0.7461717238139847,NWPP,AEO2025 Alternative Transportation
p1,2042,1.0114339037719056,0.778245075392006,0.7044737955607006,0.7553770405287483,NWPP,AEO2025 Alternative Transportation
p1,2043,1.0355794281314388,0.7910286025838327,0.7177815170889397,0.7678762086387455,NWPP,AEO2025 Alternative Transportation
p1,2044,1.0544364501625068,0.796503803477556,0.720249915849111,0.772157269479533,NWPP,AEO2025 Alternative Transportation
p1,2045,1.0792017964872378,0.8104471098087541,0.7354212477143242,0.7855824252603041,NWPP,AEO2025 Alternative Transportation
