ba,year,elec_escalation_res,elec_escalation_com,elec_escalation_ind,elec_escalation_trans,nerc_region_abbr,scenario
p1,2014,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2015,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2016,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2017,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2018,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2019,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2020,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2021,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2022,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2023,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2024,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2025,0.9484492422913926,0.920512436830695,0.9053381197515229,0.9301996505678306,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2026,0.742220550169921,0.6815568211446856,0.6000653066314536,0.6851608418858774,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2027,0.6595592013676946,0.5913892332513553,0.5252778095696367,0.5828043685289135,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2028,0.6519097735307803,0.5786839941238715,0.5073536825843376,0.5685456236227988,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2029,0.6609431232277493,0.5820552957681288,0.513895913864163,0.5716165912133052,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2030,0.679548075325623,0.5951423647626963,0.528735779296403,0.5851278484049572,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2031,0.7046766455819308,0.6140790622248271,0.5500112194495619,0.603956803878561,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2032,0.7324763539889778,0.6354789254311242,0.5760365684318738,0.627729647096447,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2033,0.7592530131973404,0.6544539715051977,0.5993787665661223,0.6473527665913933,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2034,0.7829082795825478,0.6690782337801456,0.615770895147988,0.6630576768455245,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2035,0.802575493632339,0.680317625882026,0.6294149764678711,0.6752710659841613,NWPP,AEO2025 High Zero-Carbon Technology Cost
p1,2036,0.8260000390974216,0.6961604439673589,0.6467941704806641,0.6912918414749927,NWPP,AEO2025 High Zero-Carbon Technology Cost
