ba,year,elec_escalation_res,elec_escalation_com,elec_escalation_ind,elec_escalation_trans,nerc_region_abbr,scenario
p1,2014,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2015,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2016,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2017,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2018,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2019,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2020,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2021,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2022,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2023,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2024,1.0,1.0,1.0,1.0,NWPP,AEO2025 High Oil and Gas Supply
p1,2025,0.98562653508085,0.9643554051467051,0.960417968028565,0.9710111350670559,NWPP,AEO2025 High Oil and Gas Supply
p1,2026,0.7561015146294499,0.6971310015939588,0.6135989000841353,0.7014966165192843,NWPP,AEO2025 High Oil and Gas Supply
p1,2027,0.6552802223986284,0.5874782720191529,0.5213392706901151,0.5791408280455329,NWPP,AEO2025 High Oil and Gas Supply
p1,2028,0.6459982489759589,0.5733190464185379,0.5020112043668301,0.5633486719571354,NWPP,AEO2025 High Oil and Gas Supply
p1,2029,0.6534533402626674,0.5754186213033755,0.5065722435410724,0.5646552345221768,NWPP,AEO2025 High Oil and Gas Supply
p1,2030,0.6707625999863052,0.5873540666087679,0.5202276169173626,0.5767391704601854,NWPP,AEO2025 High Oil and Gas Supply
p1,2031,0.694355967369828,0.6050477614093726,0.5401497198908293,0.5956120150922452,NWPP,AEO2025 High Oil and Gas Supply
p1,2032,0.7202721500012778,0.6245418292468118,0.5638503621924442,0.6167401577534543,NWPP,AEO2025 High Oil and Gas Supply
p1,2033,0.7466283095834041,0.6433775255631176,0.5872059264123453,0.6366648699708082,NWPP,AEO2025 High Oil and Gas Supply
p1,2034,0.7829706826057504,0.6740192998256154,0.6228629004124684,0.6679655354598385,NWPP,AEO2025 High Oil and Gas Supply
p1,2035,0.8009813556954921,0.6823179291433943,0.629641172969978,0.6781405265208319,NWPP,AEO2025 High Oil and Gas Supply
p1,2036,0.8197582243875526,0.6894927193579707,0.6364862613121011,0.6835728408963556,NWPP,AEO2025 High Oil and Gas Supply
p1,2037,0.8229018646035111,0.6815263028695082,0.6252163920297141,0.67660648624994,NWPP,AEO2025 High Oil and Gas Supply
