ba,year,elec_escalation_res,elec_escalation_com,elec_escalation_ind,elec_escalation_trans,nerc_region_abbr,scenario
p1,2014,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2015,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2016,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2017,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2018,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2019,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2020,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2021,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2022,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2023,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2024,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p1,2025,0.9524544914279771,0.9224313752563715,0.9060732247349385,0.9333669425560519,NWPP,AEO2025 Low Economic Growth
p1,2026,0.7558194591796696,0.6927803139196268,0.6096897230875361,0.6971712074838784,NWPP,AEO2025 Low Economic Growth
p1,2027,0.6795859317200713,0.6076742082161334,0.5375819725746593,0.599368635619537,NWPP,AEO2025 Low Economic Growth
p1,2028,0.680130464723195,0.6017886681533244,0.5265759013335616,0.5917477865238376,NWPP,AEO2025 Low Economic Growth
p1,2029,0.6968164377865866,0.6111593292735993,0.5376263175203028,0.6007412045032453,NWPP,AEO2025 Low Economic Growth
p1,2030,0.7209818299357738,0.6282220110412917,0.5548066642338423,0.6178701266682526,NWPP,AEO2025 Low Economic Growth
p1,2031,0.751892275195912,0.6513213397567427,0.5788435100475319,0.6415392021142127,NWPP,AEO2025 Low Economic Growth
p1,2032,0.78449781384323,0.6749429630311952,0.6060331913311451,0.6666462765982231,NWPP,AEO2025 Low Economic Growth
p1,2033,0.8141402899025598,0.6934945911427208,0.6273254046865641,0.685879547012997,NWPP,AEO2025 Low Economic Growth
p1,2034,0.8459990946693003,0.7139209744684035,0.6497414058511721,0.7072200943924827,NWPP,AEO2025 Low Economic Growth
p1,2035,0.880498073396675,0.7378458922098712,0.6753885223805088,0.7319825789385191,NWPP,AEO2025 Low Economic Growth
p1,2036,0.9218727448346304,0.7697040803372436,0.7080964034527746,0.7632063411471004,NWPP,AEO2025 Low Economic Growth
p1,2037,0.9682248367911026,0.8052883214084763,0.7429886624482411,0.7994282882180327,NWPP,AEO2025 Low Economic Growth
p1,2038,1.0133425542302466,0.8379886268706946,0.7742425866890409,0.8328230269413819,NWPP,AEO2025 Low Economic Growth
p1,2039,1.0623270542530552,0.8746155499473732,0.8121639087553152,0.8700984460904118,NWPP,AEO2025 Low Economic Growth
p1,2040,1.0995493307726207,0.8954115316866434,0.8288826090106962,0.8921394222737025,NWPP,AEO2025 Low Economic Growth
p1,2041,1.1312892885940355,0.9093911752943484,0.8397888426477392,0.9062162240956827,NWPP,AEO2025 Low Economic Growth
p1,2042,1.1675015386537608,0.930437942334892,0.8602011244107696,0.9268615344842206,NWPP,AEO2025 Low Economic Growth
p1,2043,1.2015769022284837,0.9461709852276968,0.8712698195677113,0.9425323559767816,NWPP,AEO2025 Low Economic Growth
p1,2044,1.2401500992049852,0.96785154934142,0.8920248934983589,0.9651645332087654,NWPP,AEO2025 Low Economic Growth
p1,2045,1.2895987120810797,1.0022382508675614,0.9268125607181488,0.999382440516801,NWPP,AEO2025 Low Economic Growth
p1,2046,1.3380675567225233,1.0311325317993538,0.952626892939006,1.0286505533207833,NWPP,AEO2025 Low Economic Growth
p1,2047,1.4096679516441346,1.0892922177665716,1.0179438830696734,1.0858092179172922,NWPP,AEO2025 Low Economic Growth
p1,2048,1.498038709013839,1.1620264393185071,1.094571785204559,1.1590402042006558,NWPP,AEO2025 Low Economic Growth
p1,2049,1.5800686999772142,1.2232233927443394,1.1565757734627387,1.221574591640622,NWPP,AEO2025 Low Economic Growth
p1,2050,1.6646937076640116,1.2898882285829512,1.2273885859880465,1.2885879160955118,NWPP,AEO2025 Low Economic Growth
p2,2014,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2015,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2016,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2017,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2018,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2019,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2020,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2021,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2022,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2023,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2024,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p2,2025,0.9524544914279771,0.9224313752563715,0.9060732247349385,0.9333669425560519,NWPP,AEO2025 Low Economic Growth
p2,2026,0.7558194591796696,0.6927803139196268,0.6096897230875361,0.6971712074838784,NWPP,AEO2025 Low Economic Growth
p2,2027,0.6795859317200713,0.6076742082161334,0.5375819725746593,0.599368635619537,NWPP,AEO2025 Low Economic Growth
p2,2028,0.680130464723195,0.6017886681533244,0.5265759013335616,0.5917477865238376,NWPP,AEO2025 Low Economic Growth
p2,2029,0.6968164377865866,0.6111593292735993,0.5376263175203028,0.6007412045032453,NWPP,AEO2025 Low Economic Growth
p2,2030,0.7209818299357738,0.6282220110412917,0.5548066642338423,0.6178701266682526,NWPP,AEO2025 Low Economic Growth
p2,2031,0.751892275195912,0.6513213397567427,0.5788435100475319,0.6415392021142127,NWPP,AEO2025 Low Economic Growth
p2,2032,0.78449781384323,0.6749429630311952,0.6060331913311451,0.6666462765982231,NWPP,AEO2025 Low Economic Growth
p2,2033,0.8141402899025598,0.6934945911427208,0.6273254046865641,0.685879547012997,NWPP,AEO2025 Low Economic Growth
p2,2034,0.8459990946693003,0.7139209744684035,0.6497414058511721,0.7072200943924827,NWPP,AEO2025 Low Economic Growth
p2,2035,0.880498073396675,0.7378458922098712,0.6753885223805088,0.7319825789385191,NWPP,AEO2025 Low Economic Growth
p2,2036,0.9218727448346304,0.7697040803372436,0.7080964034527746,0.7632063411471004,NWPP,AEO2025 Low Economic Growth
p2,2037,0.9682248367911026,0.8052883214084763,0.7429886624482411,0.7994282882180327,NWPP,AEO2025 Low Economic Growth
p2,2038,1.0133425542302466,0.8379886268706946,0.7742425866890409,0.8328230269413819,NWPP,AEO2025 Low Economic Growth
p2,2039,1.0623270542530552,0.8746155499473732,0.8121639087553152,0.8700984460904118,NWPP,AEO2025 Low Economic Growth
p2,2040,1.0995493307726207,0.8954115316866434,0.8288826090106962,0.8921394222737025,NWPP,AEO2025 Low Economic Growth
p2,2041,1.1312892885940355,0.9093911752943484,0.8397888426477392,0.9062162240956827,NWPP,AEO2025 Low Economic Growth
p2,2042,1.1675015386537608,0.930437942334892,0.8602011244107696,0.9268615344842206,NWPP,AEO2025 Low Economic Growth
p2,2043,1.2015769022284837,0.9461709852276968,0.8712698195677113,0.9425323559767816,NWPP,AEO2025 Low Economic Growth
p2,2044,1.2401500992049852,0.96785154934142,0.8920248934983589,0.9651645332087654,NWPP,AEO2025 Low Economic Growth
p2,2045,1.2895987120810797,1.0022382508675614,0.9268125607181488,0.999382440516801,NWPP,AEO2025 Low Economic Growth
p2,2046,1.3380675567225233,1.0311325317993538,0.952626892939006,1.0286505533207833,NWPP,AEO2025 Low Economic Growth
p2,2047,1.4096679516441346,1.0892922177665716,1.0179438830696734,1.0858092179172922,NWPP,AEO2025 Low Economic Growth
p2,2048,1.498038709013839,1.1620264393185071,1.094571785204559,1.1590402042006558,NWPP,AEO2025 Low Economic Growth
p2,2049,1.5800686999772142,1.2232233927443394,1.1565757734627387,1.221574591640622,NWPP,AEO2025 Low Economic Growth
p2,2050,1.6646937076640116,1.2898882285829512,1.2273885859880465,1.2885879160955118,NWPP,AEO2025 Low Economic Growth
p3,2014,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p3,2015,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
p3,2016,1.0,1.0,1.0,1.0,NWPP,AEO2025 Low Economic Growth
