ba,year,elec_escalation_res,elec_escalation_com,elec_escalation_ind,elec_escalation_trans,nerc_region_abbr,scenario
p1,2014,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2015,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2016,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2017,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2018,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2019,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2020,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2021,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2022,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2023,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2024,1.0,1.0,1.0,1.0,NWPP,AEO2025 Reference case
p1,2025,0.9782293046473924,0.9552758084976364,0.9500771079328415,0.9624800221620814,NWPP,AEO2025 Reference case
p1,2026,0.7531381006113129,0.6930468061730389,0.6107345512419868,0.697646211136446,NWPP,AEO2025 Reference case
p1,2027,0.6579291829652351,0.5892423661683914,0.5235933730013221,0.580867024847103,NWPP,AEO2025 Reference case
p1,2028,0.6508691763640414,0.5771997774420372,0.5067017027466051,0.5671417174547702,NWPP,AEO2025 Reference case
p1,2029,0.6590235853326359,0.5797266713994257,0.5118612877880675,0.5692535747011315,NWPP,AEO2025 Reference case
p1,2030,0.6774990965393485,0.5927821417903324,0.5268002996680702,0.5827368838834786,NWPP,AEO2025 Reference case
p1,2031,0.703340374453058,0.612592128064568,0.5482481727971207,0.6030831797259574,NWPP,AEO2025 Reference case
p1,2032,0.7251298991003168,0.6268764496141453,0.5657137400037954,0.6188715984401304,NWPP,AEO2025 Reference case
p1,2033,0.7460200514137634,0.6392461723445466,0.582341681389481,0.6319430977901846,NWPP,AEO2025 Reference case
p1,2034,0.7703723179195692,0.6553545330667674,0.6010548827147758,0.6493463251433076,NWPP,AEO2025 Reference case
p1,2035,0.7947119739803333,0.6722658475088752,0.6201223980423782,0.6668722830140431,NWPP,AEO2025 Reference case
p1,2036,0.8133123228347636,0.6825854499265888,0.6299856939374057,0.6779033791846911,NWPP,AEO2025 Reference case
p1,2037,0.8343685990475026,0.6964989475302876,0.6435373445402267,0.6913208280947003,NWPP,AEO2025 Reference case
p1,2038,0.8554152590761231,0.7088693062132629,0.6546940585407652,0.7041320162166769,NWPP,AEO2025 Reference case
p1,2039,0.8790220697759533,0.7237426470368457,0.670566605094439,0.7196116441494235,NWPP,AEO2025 Reference case
p1,2040,0.8984772801239348,0.7326035650356582,0.6778771365826423,0.7292140585377288,NWPP,AEO2025 Reference case
p1,2041,0.9171429844812063,0.7402745521733265,0.6845444808632353,0.7370375130521873,NWPP,AEO2025 Reference case
p1,2042,0.931743173488169,0.7448389109871809,0.6872918476901897,0.7419280211818355,NWPP,AEO2025 Reference case
p1,2043,0.9522904829259181,0.7573896894153898,0.7004446288544445,0.7536197844524474,NWPP,AEO2025 Reference case
p1,2044,0.9755811111886549,0.7721378747724165,0.7150460350207367,0.7676383665054233,NWPP,AEO2025 Reference case
p1,2045,0.9926623332801277,0.7786861512360087,0.7185932702125859,0.7748686790120826,NWPP,AEO2025 Reference case
p1,2046,1.0236889801293936,0.802549572026176,0.7439031332054384,0.7975965329128221,NWPP,AEO2025 Reference case
p1,2047,1.0655692470055664,0.8338634951966183,0.7764758599219674,0.8309831626782023,NWPP,AEO2025 Reference case
p1,2048,1.1081826471523772,0.8669072729635001,0.8130430961638179,0.8647779396722568,NWPP,AEO2025 Reference case
