state_abbr,sector_abbr,min_pv_kw_limit,max_pv_kw_limit,compensation_style
AK,com,0,25,net metering
AK,ind,0,25,net metering
AK,res,0,25,net metering
AR,com,0,300,net metering
AR,ind,0,300,net metering
AR,res,0,25,net metering
AZ,com,0,1000000000,net billing
AZ,ind,0,1000000000,net billing
AZ,res,0,1000000000,net billing
CA,com,0,1000,net billing
CA,ind,0,1000,net billing
CA,res,0,1000,net billing
CO,com,0,25,net metering
CO,ind,0,25,net metering
CO,res,0,10,net metering
CT,com,0,3000,net metering
CT,ind,0,3000,net metering
CT,res,0,2000,net metering
DC,com,0,1000,net metering
DC,ind,0,1000,net metering
DC,res,0,100,net metering
DE,com,0,2000,net metering
DE,ind,0,2000,net metering
DE,res,0,25,net metering
FL,com,0,2000,net metering
FL,ind,0,2000,net metering
FL,res,0,2000,net metering
GA,com,0,1000000000,net metering
GA,ind,0,1000000000,net metering
GA,res,0,10,net metering
HI,com,0,1000000000,net metering
HI,ind,0,1000000000,net metering
HI,res,0,1000000000,net metering
IA,com,0,1000,net billing
IA,ind,0,1000,net billing
IA,res,0,1000,net billing
IL,com,0,5000,net metering
IL,ind,0,5000,net metering
IL,res,0,5000,net metering
IN,com,0,1000,net billing
IN,ind,0,1000,net billing
IN,res,0,1000,net billing
KS,com,0,100,net billing
KS,ind,0,100,net billing
KS,res,0,15,net billing
KY,com,0,45,buy all sell all
KY,ind,0,45,buy all sell all
KY,res,0,45,buy all sell all
LA,com,0,300,net metering
LA,ind,0,300,net metering
LA,res,0,25,net metering
MA,com,0,1000,net metering
MA,ind,0,1000,net metering
MA,res,0,1000,net metering
MD,com,0,2000,net metering
MD,ind,0,2000,net metering
MD,res,0,2000,net metering
ME,com,0,5000,net metering
ME,ind,0,5000,net metering
ME,res,0,5000,net metering
MI,com,0,150,net billing
MI,ind,0,150,net billing
MI,res,0,20,net metering
MN,com,0,1000,net billing
MN,ind,0,1000,net billing
MN,res,0,40,net metering
MO,com,0,100,net billing
MO,ind,0,100,net billing
MO,res,0,100,net billing
MS,com,0,2000,net billing
MS,ind,0,2000,net billing
MS,res,0,20,net billing
MT,com,0,50,net billing
MT,ind,0,50,net billing
MT,res,0,50,net billing
NC,com,0,5000,net metering
NC,ind,0,5000,net metering
NC,res,0,5000,net metering
ND,com,0,100,net billing
ND,ind,0,100,net billing
ND,res,0,100,net billing
NE,com,0,25,net billing
NE,ind,0,25,net billing
NE,res,0,25,net billing
NH,com,0,1000,net metering
NH,ind,0,1000,net metering
NH,res,0,1000,net metering
NJ,com,0,1000000000,net metering
NJ,ind,0,1000000000,net metering
NJ,res,0,1000000000,net metering
NM,com,0,80000,net metering
NM,ind,0,80000,net metering
NM,res,0,80000,net metering
NV,com,0,1000,net metering
NV,ind,0,1000,net metering
NV,res,0,25,net billing
NY,com,0,2000,net metering
NY,com,0,2000,net billing
NY,ind,0,2000,net metering
NY,ind,0,2000,net billing
NY,res,0,25,net metering
NY,res,0,25,net billing
OH,com,0,1000000000,net metering
OH,ind,0,1000000000,net metering
OH,res,0,1000000000,net metering
OK,com,0,300,net metering
OK,ind,0,300,net metering
OK,res,0,300,net metering
OR,com,0,2000,net metering
OR,ind,0,2000,net metering
OR,res,0,25,net metering
PA,com,0,3000,net metering
PA,ind,0,3000,net metering
PA,res,0,50,net metering
RI,com,0,10000,net metering
RI,ind,0,10000,net metering
RI,res,0,10000,net metering
SC,com,0,1000,net metering
SC,ind,0,1000,net metering
SC,res,0,20,net metering
VA,com,0,3000,net metering
VA,ind,0,3000,net metering
VA,res,0,25,net metering
VT,com,0,500,net metering
VT,ind,0,500,net metering
VT,res,0,500,net metering
WA,com,0,100,net metering
WA,ind,0,100,net metering
WA,res,0,100,net metering
WI,com,0,20,net metering
WI,ind,0,20,net metering
WI,res,0,20,net metering
WV,com,0,1000,net metering
WV,ind,0,2000,net metering
WV,res,0,50,net metering
WY,com,0,25,net metering
WY,ind,0,25,net metering
WY,res,0,25,net metering
