state_abbr,sector_abbr,tech,incentive_type,min_kw,max_kw,pbi_usd_p_kwh,min_incentive_usd,max_incentive_usd,cbi_usd_p_w,ibi_pct,budget_annual_usd,budget_total_usd,incentive_cap_annual_mw,incentive_cap_total_mw,incentive_duration_yrs,start_date,end_date,cbi_usd_p_wh,max_incentive_pct,min_incentive_pct,min_kwh,max_kwh
AZ,com,solar,ITC,,,,,25000,,0.1,1000000,1000000,,,,1/1/2006,12/31/2018,,,,,
AZ,ind,solar,ITC,,,,,25000,,0.1,1000000,,,,,1/1/2006,12/31/2018,,,,,
AZ,res,solar,ITC,,,,,1000,,0.25,,,,,,1/1/1995,,,,,,
CA,com,solar,FIT,,,0.08923,,,,,,,,750,,2/14/2008,,,,,,
CA,ind,solar,FIT,,,0.08923,,,,,,,,750,,2/14/2008,,,,,,
CA,res,solar,Rebate,,,,,,0.5,,,400000000,,,,1/2/2007,,,0.5,,,
CA,res,solar,FIT,,,0.08923,,,,,,,,750,,2/14/2008,,,,,,
CO,com,solar,ITC,,,,,750000,,0.03,,,,,,1/1/2015,12/31/2020,,,,,
CO,ind,solar,ITC,,,,,750000,,0.03,,,,,,1/1/2015,12/31/2020,,,,,
CT,res,solar,Rebate,,10,,,,0.358,,,10000000,,,,3/2/2012,12/31/2022,,,,,
CT,res,solar,Rebate,10.1,20,,,,0.207,,,10000000,,,,3/2/2012,12/31/2022,,,,,
DC,com,solar,SREC,,,0.48,,,,,,,,,,4/12/2005,5/17/2027,,,,,
DC,ind,solar,SREC,,,0.48,,,,,,,,,,4/12/2005,5/17/2027,,,,,
DC,res,solar,SREC,,,0.48,,,,,,,,,,4/12/2005,5/17/2027,,,,,
DE,com,solar,SREC,,2000,0.035,,,,,,3750000,,,,8/1/2014,6/30/2017,,,,,
DE,ind,solar,SREC,,2000,0.035,,,,,,3750000,,,,8/1/2014,6/30/2017,,,,,
DE,res,solar,SREC,,2000,0.035,,,,,,3750000,,,,8/1/2014,6/30/2017,,,,,
FL,com,solar,PTC,,,0.01,,10000000,,,,,,,,7/1/2012,6/30/2016,,,,,
HI,com,solar,FIT,,20,0.218,,,,,,,,,,9/1/2009,,,,,,
HI,com,solar,FIT,20,500,0.189,,,,,,,,,,9/1/2009,,,,,,
HI,com,solar,ITC,,,,,500000,,0.35,,,,,,7/1/2009,,,,,,
HI,com,solar,FIT,500,5000,0.197,,,,,,,,,,9/1/2009,,,,,,
HI,ind,solar,FIT,,20,0.218,,,,,,,,,,9/1/2009,,,,,,
HI,ind,solar,FIT,500,5000,0.197,,,,,,,,,,9/1/2009,,,,,,
HI,ind,solar,FIT,20,500,0.189,,,,,,,,,,9/1/2009,,,,,,
HI,res,solar,FIT,500,5000,0.197,,,,,,,,,,9/1/2009,,,,,,
HI,res,solar,FIT,20,500,0.189,,,,,,,,,,9/1/2009,,,,,,
HI,res,solar,FIT,,20,0.218,,,,,,,,,,9/1/2009,,,,,,
HI,res,solar,ITC,,,,,5000,,0.35,,,,,,7/1/2009,,,,,,
IA,com,solar,PTC,,2500,0.015,,,,,,5000000,,,10,6/15/2005,,,,,,
IA,com,solar,PTC,,2500,0.015,,,,,,5000000,,,10,6/15/2005,,,,,,
IA,res,solar,ITC,,2500,,,5000,,0.18,,,,,,1/1/2012,,,,,,
IL,com,solar,SREC,,,0.007,,,,,,,,,5,6/1/2009,,,,,,
