county_id,ba,nercregion
1,p102,FRCC
2,p87,MISS
3,p40,SPPN
4,p88,SRCE
5,p5,NWPP
6,p10,CASO
7,p100,PJMW
8,p85,MISS
9,p62,TRE
10,p114,PJMW
11,p25,BASN
12,p18,NWPP
13,p92,SRCE
14,p16,BASN
15,p79,MISW
16,p116,PJMW
17,p98,SRCA
18,p86,MISS
19,p80,PJMC
20,p50,SPPS
21,p92,SRCE
22,p70,MISW
23,p3,NWPP
24,p38,SPPN
25,p112,PJMW
26,p118,PJMW
27,p42,MISW
28,p86,MISS
29,p87,MISS
30,p92,SRCE
31,p40,SPPN
32,p65,TRE
33,p93,SRCE
34,p117,PJMW
35,p98,SRCA
36,p5,NWPP
37,p15,BASN
38,p78,MISW
39,p25,BASN
40,p98,PJMD
41,p86,MISS
42,p100,PJMW
43,p46,MISW
44,p5,NWPP
45,p103,MISE
46,p116,PJMW
47,p109,SRCE
48,p40,SPPN
49,p64,TRE
50,p112,PJMW
51,p101,FRCC
52,p45,SPPN
53,p81,MISC
54,p66,TRE
55,p63,TRE
56,p99,PJMD
57,p81,MISC
58,p116,PJMW
59,p97,SRCA
60,p53,SPPC
61,p126,PJME
62,p127,NYUP
63,p127,NYUP
64,p110,PJMW
65,p85,MISS
66,p109,SRCE
67,p107,MISC
68,p38,SPPN
69,p129,ISNE
70,p40,SPPN
71,p31,SRSG
72,p99,PJMD
73,p66,MISS
74,p22,RMRG
75,p94,SRSE
76,p129,ISNE
77,p53,SPPC
78,p53,SPPC
79,p63,TRE
80,p84,MISC
81,p50,SPPS
82,p15,BASN
83,p57,SPPS
84,p123,PJME
85,p97,SRCA
86,p31,SRSG
87,p52,SPPC
88,p94,SRSE
89,p9,CANO
90,p109,SRCE
91,p126,PJME
92,p99,PJMD
93,p92,SRCE
94,p94,SRSE
95,p85,MISS
96,p95,SRCA
97,p45,MISW
98,p119,PJME
99,p57,SPPS
100,p74,MISW
101,p54,SPPC
102,p40,SPPN
103,p93,SRCE
104,p48,SPPS
105,p62,TRE
106,p103,MISE
107,p63,TRE
108,p99,PJMD
109,p100,PJMW
110,p45,SPPN
111,p83,MISC
112,p87,MISS
113,p84,MISC
114,p80,PJMC
115,p2,NWPP
116,p48,SPPS
117,p33,RMRG
118,p109,SRCE
119,p40,SPPN
120,p85,MISS
121,p105,PJMW
122,p67,TRE
123,p27,SRSG
124,p52,SPPC
125,p24,RMRG
126,p99,PJMD
127,p38,SPPN
128,p134,ISNE
129,p90,SRSE
130,p99,PJMD
131,p34,RMRG
132,p92,SRCE
133,p34,RMRG
134,p53,SPPC
135,p122,PJMW
137,p123,PJME
138,p64,MISS
139,p87,SRSE
140,p96,SRCA
141,p130,ISNE
142,p50,SPPS
143,p78,MISW
144,p131,ISNE
145,p134,ISNE
146,p111,PJMW
147,p122,PJME
148,p92,SRCE
149,p70,MISW
150,p18,NWPP
151,p85,MISS
152,p94,SRSE
153,p109,SRCE
154,p70,MISW
155,p112,PJMW
156,p105,MISC
157,p90,SRSE
158,p73,MISC
159,p83,MISC
160,p37,SPPN
161,p63,TRE
162,p101,FRCC
163,p101,FRCC
164,p66,MISS
165,p98,SRCA
166,p37,SPPN
167,p9,CANO
168,p44,MISW
169,p40,SPPN
170,p94,SRSE
171,p98,SRCA
172,p87,SRSE
173,p81,MISC
174,p112,PJMW
175,p92,SRCE
176,p87,MISS
177,p17,NWPP
178,p103,MISE
179,p55,SPPC
180,p3,NWPP
181,p64,TRE
182,p53,SPPC
183,p72,MISC
184,p12,BASN
185,p34,RMRG
186,p34,RMRG
187,p101,FRCC
188,p17,NWPP
189,p92,SRCE
190,p18,NWPP
191,p33,RMRG
192,p112,PJMW
193,p65,TRE
194,p98,PJMD
195,p109,SRCE
196,p40,SPPN
197,p53,SPPC
198,p5,NWPP
199,p9,CANO
200,p1,NWPP
201,p46,MISW
202,p131,ISNE
203,p61,TRE
204,p98,SRCA
205,p116,PJMW
206,p96,SRCA
207,p12,BASN
208,p14,NWPP
209,p96,SRCA
210,p81,MISC
211,p58,MISS
212,p130,ISNE
213,p122,PJME
214,p123,PJME
215,p97,SRCA
216,p80,PJMC
217,p103,MISW
218,p132,ISNE
219,p95,SRCA
220,p89,SRCE
221,p51,SPPS
222,p40,SPPN
223,p45,SPPN
224,p85,MISS
225,p38,SPPN
226,p38,SPPN
227,p82,MISC
228,p87,SRSE
229,p85,MISS
230,p87,SRSE
231,p81,PJMC
232,p63,TRE
233,p45,MISW
234,p104,PJMW
235,p83,MISC
236,p33,RMRG
237,p122,PJME
238,p50,SPPS
239,p123,PJME
241,p92,SRCE
242,p99,PJMD
243,p93,SRCE
244,p134,ISNE
245,p28,SRSG
246,p99,PJMD
247,p72,MISC
248,p72,MISC
249,p85,SPPS
250,p90,SRSE
251,p11,CASO
252,p38,SPPN
253,p40,SPPN
254,p36,SPPN
255,p92,SRCE
256,p4,NWPP
257,p5,NWPP
258,p64,TRE
259,p45,MISW
260,p45,SPPN
261,p65,TRE
262,p109,SRCE
263,p1,NWPP
264,p50,SPPS
265,p12,BASN
266,p127,NYCW
267,p116,PJMW
268,p50,SPPS
269,p131,ISNE
270,p130,ISNE
271,p67,TRE
272,p57,TRE
273,p57,SPPS
274,p94,SRSE
275,p55,SPPC
276,p9,CANO
277,p5,NWPP
278,p94,SRSE
279,p28,SRSG
280,p41,SPPN
281,p92,SRCE
282,p76,MISW
283,p74,MISW
284,p65,TRE
285,p10,CASO
286,p38,SPPN
287,p103,MISE
288,p128,NYCW
289,p51,SPPS
290,p127,NYUP
291,p117,PJMW
292,p98,PJMD
293,p79,MISW
294,p37,MISW
295,p86,MISS
296,p38,SPPN
297,p94,SRSE
298,p84,MISC
299,p94,SRSE
301,p17,NWPP
302,p43,MISW
303,p94,SRSE
304,p73,MISC
305,p45,MISW
306,p103,MISE
307,p40,SPPN
308,p37,SPPN
309,p112,PJMW
310,p43,SPPN
311,p112,PJMW
312,p99,PJMD
313,p107,MISC
314,p122,PJME
315,p58,SPPS
316,p105,PJMW
317,p51,SPPS
318,p46,MISW
319,p83,MISC
320,p88,MISS
321,p55,SPPC
322,p36,SPPN
323,p32,RMRG
324,p103,MISE
325,p37,SPPN
326,p74,MISW
327,p89,SRSE
328,p50,SPPS
329,p65,TRE
330,p76,MISW
331,p113,PJMW
332,p18,NWPP
333,p15,BASN
334,p107,MISC
335,p94,SRSE
336,p43,SPPN
337,p50,SPPS
338,p109,SRCE
339,p92,SRCE
340,p83,MISC
341,p105,PJMW
342,p44,SPPN
343,p15,NWPP
344,p80,PJMC
345,p48,SPPS
346,p64,TRE
347,p45,MISW
348,p94,SRSE
349,p58,SPPS
350,p80,MISW
351,p65,TRE
352,p94,SRSE
353,p69,MISW
354,p90,SRSE
355,p21,BASN
356,p48,SPPS
357,p64,TRE
358,p24,BASN
359,p25,BASN
360,p98,SRCA
361,p92,SRCE
362,p43,MISW
363,p105,MISC
364,p118,PJMW
365,p89,SRSE
367,p43,MISW
368,p55,SPPC
369,p105,MISC
370,p126,PJME
371,p45,SPPN
372,p52,SPPC
373,p93,SRCE
374,p66,TRE
375,p62,TRE
376,p122,PJME
377,p42,MISW
378,p43,MISW
379,p31,SRSG
380,p73,MISC
381,p71,MISC
382,p105,PJMW
383,p40,SPPN
384,p66,MISS
385,p93,SRCE
386,p90,SRSE
387,p105,MISC
388,p79,MISW
389,p36,SPPN
390,p94,SRSE
391,p103,MISE
392,p61,TRE
393,p95,SRCA
394,p131,ISNE
395,p89,SRCE
396,p65,TRE
397,p72,MISC
398,p97,SRCA
399,p85,SPPS
400,p53,SPPC
401,p91,SRSE
402,p25,BASN
403,p88,SRCE
404,p97,SRCA
405,p97,SRCA
406,p43,MISW
407,p112,PJMW
408,p48,SPPS
409,p101,FRCC
410,p123,PJMW
411,p42,MISW
412,p94,SRCE
413,p103,MISE
414,p68,MISW
415,p70,MISW
416,p101,FRCC
417,p34,RMRG
418,p109,SRCE
419,p19,MISW
420,p46,MISW
421,p45,MISW
422,p111,PJMW
423,p122,PJME
424,p111,PJMW
425,p122,PJME
426,p104,PJMW
427,p43,MISW
428,p98,SRCA
429,p53,SPPC
430,p63,TRE
431,p90,SRSE
432,p44,MISW
433,p88,SRCE
434,p84,MISC
